Date,Open,High,Low,Close,Adj Close,Volume
2021-01-19,86150.000000,88005.703125,86150.000000,87197.546875,87140.812500,21305
2021-01-20,87800.000000,94120.148438,87600.601563,93081.500000,93020.937500,80494
2021-01-21,93600.000000,96479.703125,90602.000000,91712.898438,91653.226563,111415
2021-01-22,92444.000000,94345.953125,91420.000000,92305.953125,92245.898438,90867
2021-01-25,93879.953125,93879.953125,89205.101563,89638.351563,89580.031250,60275
2021-01-27,90100.000000,90177.250000,87510.000000,88577.750000,88520.117188,58528
2021-01-28,88100.000000,89411.601563,87122.750000,87487.703125,87430.781250,51944
2021-01-29,88499.101563,89388.000000,83455.703125,84069.148438,84014.453125,56240
2021-02-01,84888.000000,88798.601563,83900.046875,88133.648438,88076.304688,46017
2021-02-02,89450.000000,91949.898438,88926.851563,90745.953125,90686.914063,51519
2021-02-03,91583.203125,93278.351563,89500.046875,89963.500000,89904.968750,44550
2021-02-04,90999.898438,93780.000000,89964.000000,92181.953125,92121.976563,63583
2021-02-05,93318.296875,93566.953125,90272.148438,90693.046875,90634.039063,49120
2021-02-08,92249.898438,92551.250000,90000.000000,90870.750000,90811.625000,36568
2021-02-09,91495.000000,94699.000000,90400.000000,93597.898438,93537.007813,69603
2021-02-10,93852.000000,97880.796875,92750.000000,96973.851563,96910.757813,72305
2021-02-11,96770.000000,98599.953125,89120.000000,90084.703125,90026.093750,182954
2021-02-12,92000.000000,93480.000000,90085.000000,91278.046875,91218.664063,138059
2021-02-15,92373.398438,92450.000000,90000.000000,90643.898438,90584.921875,54272
2021-02-16,91499.000000,91550.000000,89003.796875,89575.351563,89517.070313,58998
2021-02-17,90999.898438,90999.898438,88811.000000,89184.500000,89129.460938,39383
2021-02-18,89500.000000,90000.000000,88350.000000,88881.351563,88826.500000,36398
2021-02-19,88160.000000,89369.851563,87000.000000,88120.101563,88065.718750,34825
2021-02-22,88800.000000,88800.000000,86226.000000,86921.296875,86867.656250,33729
2021-02-23,87293.601563,88105.046875,85800.000000,87558.500000,87504.460938,37383
2021-02-24,88100.000000,88600.000000,86850.000000,87979.648438,87925.351563,13773
2021-02-25,88200.000000,88600.000000,87362.851563,87622.796875,87568.718750,22420
2021-02-26,86900.000000,87320.000000,83803.546875,84498.148438,84446.000000,46327
2021-03-01,85200.000000,89864.000000,85152.046875,89025.453125,88970.507813,48753
2021-03-02,90148.750000,90274.000000,88446.953125,89680.398438,89625.054688,34837
2021-03-03,89680.000000,89950.000000,88480.000000,89097.101563,89042.117188,22137
2021-03-04,88200.000000,90801.000000,88097.703125,89773.546875,89718.140625,29437
2021-03-05,89699.898438,89699.898438,88005.000000,88661.750000,88607.031250,27911
2021-03-08,88661.750000,89484.953125,87202.046875,87564.546875,87510.507813,21119
2021-03-09,88398.398438,89505.500000,88000.000000,89067.703125,89012.734375,24443
2021-03-10,89702.750000,89703.000000,88379.453125,88684.101563,88629.367188,16992
2021-03-12,88800.000000,90300.000000,88200.000000,88775.351563,88720.562500,25808
2021-03-15,89200.000000,89490.500000,87000.000000,87673.546875,87619.437500,22657
2021-03-16,87900.000000,88479.851563,86500.000000,86819.000000,86765.421875,22685
2021-03-17,87328.546875,87328.546875,85246.250000,85609.000000,85556.164063,18541
2021-03-18,86025.203125,86348.250000,83000.046875,83206.250000,83154.898438,30104
2021-03-19,82900.000000,84920.953125,80605.796875,84539.796875,84487.625000,63106
2021-03-22,84500.000000,85499.000000,82421.101563,83722.796875,83671.125000,27406
2021-03-23,83999.898438,84999.953125,83600.000000,84615.101563,84562.882813,26061
2021-03-24,83870.000000,84345.398438,81800.000000,82341.703125,82290.882813,25865
2021-03-25,82300.000000,82993.000000,80702.703125,81751.203125,81700.750000,33840
2021-03-26,82749.398438,82749.398438,81800.000000,82009.453125,81958.843750,17694
2021-03-30,82511.000000,83946.000000,81325.046875,83185.296875,83133.960938,34009
2021-03-31,82711.398438,83525.750000,81950.000000,82259.453125,82208.687500,17739
2021-04-01,83148.000000,83449.953125,82200.000000,83133.101563,83081.796875,19973
2021-04-05,82310.000000,83269.101563,81262.601563,81520.898438,81470.585938,19060
2021-04-06,82139.750000,82500.000000,81211.101563,82245.546875,82194.789063,18062
2021-04-07,81770.000000,83950.000000,81684.750000,83672.601563,83620.960938,16887
2021-04-08,83900.000000,84492.148438,82500.000000,82983.101563,82931.890625,19674
2021-04-09,82908.351563,83287.453125,81750.000000,81888.148438,81837.609375,14917
2021-04-12,81300.000000,81400.000000,78900.000000,79227.851563,79178.953125,24417
2021-04-13,79500.000000,83100.000000,79300.000000,82671.601563,82620.578125,30804
