Date,Open,High,Low,Close,Adj Close,Volume
2020-10-29,12.300000,12.450000,12.150000,12.400000,12.400000,58770634
2020-10-30,12.400000,12.600000,12.300000,12.400000,12.400000,52710399
2020-11-02,12.450000,12.500000,12.200000,12.250000,12.250000,49849401
2020-11-03,12.400000,12.400000,12.250000,12.250000,12.250000,47277462
2020-11-04,12.300000,12.400000,12.200000,12.250000,12.250000,45799739
2020-11-05,12.250000,12.400000,12.250000,12.300000,12.300000,32619961
2020-11-06,12.300000,12.350000,12.200000,12.300000,12.300000,83956341
2020-11-09,12.350000,12.900000,12.250000,12.900000,12.900000,128615608
2020-11-10,13.500000,13.500000,13.500000,13.500000,13.500000,80270780
2020-11-11,14.150000,14.150000,14.150000,14.150000,14.150000,54007188
2020-11-12,14.700000,14.700000,13.600000,14.350000,14.350000,480646515
2020-11-13,14.250000,14.850000,13.950000,14.550000,14.550000,232152650
2020-11-14,null,null,null,null,null,null
2020-11-17,14.650000,14.700000,14.400000,14.650000,14.650000,192776749
2020-11-18,14.650000,14.850000,14.450000,14.700000,14.700000,207060545
2020-11-19,14.550000,14.700000,14.050000,14.250000,14.250000,200887914
2020-11-20,14.300000,14.650000,14.100000,14.550000,14.550000,183959497
2020-11-23,14.650000,14.900000,14.250000,14.550000,14.550000,305463387
2020-11-24,14.600000,14.750000,14.500000,14.700000,14.700000,173079102
2020-11-25,14.750000,14.750000,14.050000,14.150000,14.150000,157534267
2020-11-26,14.150000,14.250000,13.850000,14.100000,14.100000,126306469
2020-11-27,14.200000,14.800000,14.050000,14.700000,14.700000,21419226
2020-12-01,15.400000,15.400000,15.050000,15.400000,15.400000,384256021
2020-12-02,15.700000,15.900000,14.850000,15.450000,15.450000,311349886
2020-12-03,15.650000,15.800000,15.250000,15.450000,15.450000,152445535
2020-12-04,15.600000,15.600000,15.050000,15.350000,15.350000,149691622
2020-12-07,15.650000,15.850000,15.500000,15.750000,15.750000,193242183
2020-12-08,16.000000,17.299999,16.000000,17.299999,17.299999,562741066
2020-12-09,18.250000,19.000000,18.049999,19.000000,19.000000,488175314
