Date,Open,High,Low,Close,Adj Close,Volume
2020-10-29,27.000000,27.000000,26.299999,26.600000,26.600000,33996026
2020-10-30,26.799999,27.200001,26.500000,26.750000,26.750000,25772525
2020-11-02,27.100000,28.400000,26.750000,27.950001,27.950001,53642960
2020-11-03,28.049999,28.350000,27.299999,27.799999,27.799999,72403902
2020-11-04,27.900000,27.950001,26.950001,27.450001,27.450001,46812632
2020-11-05,27.700001,28.150000,27.400000,27.700001,27.700001,34167763
2020-11-06,27.750000,28.200001,27.600000,27.750000,27.750000,32382743
2020-11-09,27.950001,28.900000,27.850000,28.600000,28.600000,48174136
2020-11-10,28.900000,29.799999,28.600000,29.600000,29.600000,46493213
2020-11-11,29.799999,30.299999,28.850000,29.250000,29.250000,49278768
2020-11-12,29.250000,29.500000,28.900000,29.100000,29.100000,27200167
2020-11-13,29.150000,29.549999,28.350000,29.500000,29.500000,33735974
2020-11-14,null,null,null,null,null,null
2020-11-17,29.600000,30.200001,29.400000,29.850000,29.850000,30880948
2020-11-18,29.799999,31.250000,29.600000,30.850000,30.850000,78369100
2020-11-19,30.850000,30.850000,29.750000,30.000000,30.000000,29648439
2020-11-20,29.950001,30.200001,29.549999,29.799999,29.799999,23624084
2020-11-23,29.950001,30.150000,29.750000,30.049999,30.049999,21909692
2020-11-24,30.299999,30.600000,29.799999,30.400000,30.400000,30470938
2020-11-25,30.650000,32.599998,30.549999,31.350000,31.350000,99621016
2020-11-26,31.400000,32.200001,30.900000,32.049999,32.049999,48077667
2020-11-27,32.150002,34.150002,32.049999,33.450001,33.450001,71951138
2020-12-01,33.900002,34.650002,33.299999,34.450001,34.450001,58487858
2020-12-02,34.549999,35.049999,33.500000,33.950001,33.950001,77155079
2020-12-03,34.349998,36.049999,34.150002,35.799999,35.799999,90403528
2020-12-04,36.250000,36.700001,34.750000,35.650002,35.650002,120208081
2020-12-07,35.599998,36.400002,35.400002,35.750000,35.750000,82840809
2020-12-08,36.000000,41.099998,35.900002,40.599998,40.599998,227310533
2020-12-09,42.200001,42.650002,39.150002,39.400002,39.400002,216961308
2020-12-10,39.400002,39.400002,38.099998,38.400002,38.400002,63379052
2020-12-11,38.599998,41.400002,38.599998,40.500000,40.500000,116536838
2020-12-14,41.000000,41.500000,40.700001,41.250000,41.250000,52117435
2020-12-15,41.250000,41.299999,39.700001,40.599998,40.599998,56929480
2020-12-16,39.599998,39.599998,37.250000,37.950001,37.950001,214696891
2020-12-17,38.150002,38.349998,36.750000,37.000000,37.000000,66872650
2020-12-18,37.150002,37.150002,35.650002,36.549999,36.549999,63979156
2020-12-21,36.000000,36.849998,33.000000,34.099998,34.099998,73372682
2020-12-22,33.849998,34.750000,31.700001,33.400002,33.400002,118459132
2020-12-23,32.099998,32.750000,31.700001,31.799999,31.799999,178237037
2020-12-24,32.200001,32.599998,31.400000,31.450001,31.450001,111190598
2020-12-28,31.850000,32.900002,31.500000,32.400002,32.400002,145990073
2020-12-29,32.900002,34.150002,32.799999,33.200001,33.200001,160162623
2020-12-30,33.700001,33.700001,32.349998,32.750000,32.750000,92597922
2020-12-31,32.799999,33.349998,32.400002,33.049999,33.049999,189388220
2021-01-01,33.299999,34.950001,33.099998,34.799999,34.799999,227528491
2021-01-04,35.400002,35.750000,34.250000,35.549999,35.549999,213599078
2021-01-05,35.000000,35.700001,34.700001,35.599998,35.599998,142225084
2021-01-06,35.799999,36.400002,34.750000,35.200001,35.200001,202327890
2021-01-07,35.799999,36.000000,35.349998,35.450001,35.450001,94883129
2021-01-08,35.650002,35.900002,35.099998,35.400002,35.400002,80655853
2021-01-11,35.799999,35.799999,34.549999,34.900002,34.900002,76603154
2021-01-12,34.700001,36.950001,34.299999,36.500000,36.500000,183664727
2021-01-13,37.000000,37.200001,35.250000,36.599998,36.599998,227452083
2021-01-14,36.750000,37.799999,36.400002,37.000000,37.000000,184172283
2021-01-15,37.000000,37.500000,35.500000,35.950001,35.950001,142841953
2021-01-18,36.000000,36.549999,35.099998,35.450001,35.450001,113003034
2021-01-19,35.950001,36.750000,35.500000,36.500000,36.500000,109008869
2021-01-20,36.750000,37.299999,36.299999,36.950001,36.950001,132227405
2021-01-21,37.099998,37.400002,35.250000,35.650002,35.650002,126279607
2021-01-22,35.799999,36.049999,34.200001,34.549999,34.549999,133649890
2021-01-25,35.000000,35.099998,33.500000,34.150002,34.150002,83484252
2021-01-27,34.099998,34.250000,33.049999,33.349998,33.349998,69780206
